ticket_id,type,organization,organization_action,comment,Latitute,Longitude,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,duration_minutes_inprogress,duration_minutes_finished,duration_minutes_total,timestamp_inprogress,timestamp_finished
2023-G7DEV8,"ต้นไม้,เสนอแนะ","เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตพระนคร","เขตพระนคร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ป้ายรถเมล์สนามหลวงทั้งสองฝั่ง ตรงข้าม ม.ธรรมศาสตร์ + ตรงข้ามศาลฎีกา คนใช้เยอะ แต่พื้นที่คับแคบมากควรมีศาลารอรถ และสมควรที่จะเคลื่อนรั้วเข้าไปให้มีพื้นที่ทางเท้าด้วย คนเดินเท้าลำบาก คนรอรถเมล์ก็ต้องได้ลงมารอบนถนน,100.49385,13.75458,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/8ef53a7a7fb49ad4fcc22e8348087a00c9324acd.jpg,,สนามหลวง (ตรงข้ามศาลฎีกา) แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,28/11/2023 21:01,start,,0,28/11/2023 21:01,,,,,
2023-CNY9HG,"อื่นๆ,ไฟฟ้า","กรุงเทพมหานคร, เขตตลิ่งชัน, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตตลิ่งชัน, กรุงเทพมหานคร",ไฟทางในซอยบรมราชชนนี 67(วัดกระจัง) ชำรุด จำนวน 2 จุด  เสาต้นแรกเลขที่ ธ 1 เข้าจากถนนบรมราชชนนีประมาณ 20 เมตร อยู่ขวามือ ถัดไปอีกประมาณ 20 เมตร จำนวน 1 ต้น เสาเลขที่ ธ 3 มี อยากให้ช่วยมาดำเนินการเปลี่ยนหลอดไฟให้ครับ,100.43967,13.77941,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/11451153bc28cfbd95e8559cd0d6c0870446d1e3.jpg,,33/3 ถ. บรมราชชนนี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,28/11/2023 20:57,start,,0,28/11/2023 20:57,,,,,
YT4MTT,ทางเท้า,"ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตจตุจักร","เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ปัญหา: พบรถจักรยานยนต์จอดบนทางเท้า เนื่องจากมีร้านสุราเปิดใหม่ และช่วงหน้าร้านดังกล่าวไม่มีที่สำหรับจอดรถ
ซอย: พหลโยธิน 39
ถนน: พหลโยธิน
จุดสังเกต: ช่วงหน้าปากซอยดังกล่าว
เขต: จตุจักร
#1555",100.57227,13.83427,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701179792519.jpeg,,1941 ซอย พหลโยธิน 39 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,28/11/2023 20:56,start,,0,28/11/2023 20:56,,,,,
2023-GDEEG6,"ต้นไม้,ความปลอดภัย","กรุงเทพมหานคร, เขตปทุมวัน, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตปทุมวัน, กรุงเทพมหานคร","เรื่อง การวางสิ่งกีดขวางบนทางเดินเท้า
 เนื่องจาก ทางพื้นที่เขตได้ทำการแจ้งผู้อยู่อาศัยเพื่อทำการย้ายสิ่งกีดขวางเช่นต้นไม้หรือฯ เข้าไปภายในส่วนตัวบ้านเพื่อให้เกิดประโยชน์กับผู้ที่ใช้เดินบนทางเท้ารวมถึงผู้พิการและนักท่องเที่ยวต่างชาติทึ่เดินกันเป็นจำนวนไม่น้อย แต่มีบางบ้านที่ไม่ทำตาม พรบ.ความสะอาด
 ขอความเร่งด่วนในเรื่องนี้ด้วยครับ 
 จักขอขอบคุณอย่างยิ่ง",100.55142,13.72353,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/66656b591b78eec17f94ecb56b1583112a91bc54.jpg,,PHF2+CHJ ถ. พระรามที่ ๔ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,28/11/2023 20:47,start,,0,28/11/2023 20:47,,,,,
2023-LVW4X9,ทางเท้า,"กรุงเทพมหานคร, เขตลาดกระบัง, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตลาดกระบัง, กรุงเทพมหานคร",วางสิ่งของบนฟุตบาท ทั้งถังแก๊ส ถังออกซิเจน อันตรายต่อประชาชน,100.85378,13.69671,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/3cf9c1e3393253ffdc7325a4d94ff1e4beb44c81.jpg,,136/1 ถ. หลวงแพ่ง แขวงขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,28/11/2023 20:46,start,,0,28/11/2023 20:46,,,,,
2023-LQXPMZ,ทางเท้า,"เพื่อนชัชชาติ, เขตจตุจักร, กรุงเทพมหานคร","กรุงเทพมหานคร, เขตจตุจักร, เพื่อนชัชชาติ",พื้นทางเท้าชำรุด น้ำกระเด็นออกมาจากพื้น,100.56077,13.81418,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/b20861b23597ec3d9ccd09f6edab2b8bf9e3085e.jpg,,1146/6 ถ. พหลโยธิน แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,28/11/2023 20:44,start,,0,28/11/2023 20:44,,,,,
2023-CATQQZ,อื่นๆ,"เพื่อนชัชชาติ, เขตลาดกระบัง, กรุงเทพมหานคร","กรุงเทพมหานคร, เขตลาดกระบัง, เพื่อนชัชชาติ",เปิดเพลงเสียงดังเพิ่มรถเอาลำโพงวางไว้บนหลังคาตามที่ลูกศรสีแดงมีเจตนาชัดเจนเรื่องเปิดเพลงตรงวงกลมสีแดงจะมีเจ้าของร้านด้วยในรูปเกินเวลาอีกด้วย,100.79315,13.78293,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/931fb3c75762b41f7f470b62d015139362b393e5.jpg,,462 ถ. เลียบคลองลำกอไผ่ แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,28/11/2023 20:43,start,,0,28/11/2023 20:43,,,,,
2023-7HGAZ3,อื่นๆ,"กรุงเทพมหานคร, เขตลาดกระบัง, เพื่อนชัชชาติ, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง","เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, เพื่อนชัชชาติ, กรุงเทพมหานคร",เห็นประชาสัมพันธ์งานแข่งเรือคลองประเวศบุรีรมย์ มีจุเมื่อวานดถ่ายรูป เช็คอิน เมื่อวานวันลอยกระทงได้พาครอบครัวมาลอยกระทงและจะถ่ายรูปกับจุดเช็คอิน แต่ไม่มีให้ถ่าย สอบถามคนในวัดแจ้งว่า วันแข่งเรือช่วงบ่าย 3 โมง คนงานกวาดถนนฝ่ายรักษา เก็บ รื้อออกไปหมดเลย  จะรีบอะไรขนาดนั้น จะไม่ให้ประชาชนถ่ายรูปเลยหรอ งงงง หมด,100.85142,13.70007,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/7b373350a70abfdfc75d47b786835fd9e0f51f6c.jpg,,PV22+2HF แขวงขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,28/11/2023 20:41,start,,0,28/11/2023 20:42,,,,,
9VHNNX,"เสนอแนะ,ประชาสัมพันธ์","ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตบางบอน","เขตบางบอน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ปัญหา: อยากเสนอแนะให้มีการซ่อมแซมโครงสร้างอาคารสถานพยาบาลบางบอน เนื่องจากทราบมาว่าตัวอาคารยังไม่ได้มาตรฐานและพบเห็นรอยร้าวรูปตัว L และอยากให้มีการขยายพื้นที่ด้านหลังประมาณ 2-4 ไร่ เพื่อรองรับพื้นที่สำหรับจอดรถ
ถนน: พรหมราษฎร์
จุดสังเกต: สถานพยาบาลบางบอน ที่ถนนดังกล่าว ใกล้กับสถานีตำรวจนครบาลแสมดำ ใกล้วัดโพธิ์พุฒตาล
เขต: บางบอน
#1555",100.39314,13.63938,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701178678962.jpeg,,1670 ซอย เอกชัย 109 บางบอนใต้ เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,บางบอนใต้,บางบอน,กรุงเทพมหานคร,28/11/2023 20:38,start,,0,28/11/2023 20:38,,,,,
2023-62RAXA,อื่นๆ,"เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตห้วยขวาง","เขตห้วยขวาง, กรุงเทพมหานคร, เพื่อนชัชชาติ",หลอดไฟเสาระหว่างบ้านเลขที่ 423 และ 421 ไม่ติดครับ,100.58625,13.77717,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/9005a124bbc11ee3adcbd21f9211b4b699a97c7c.jpg,,423 ซอย รัชดานิเวศน์ แยก 6 แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,28/11/2023 20:36,start,,0,28/11/2023 20:36,,,,,
2023-MNC3M2,"ถนน,จราจร","กรุงเทพมหานคร, เขตราชเทวี, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตราชเทวี, กรุงเทพมหานคร",ถนนชำรุด เป็นหลุมหลายแห่ง,100.52592,13.76193,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/07fc45b6f7097a1b00202c1a22504c9f4fd180a2.jpg,,สี่แยกศรีอยุธยา 119 ถ. ศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,28/11/2023 20:36,start,,0,28/11/2023 20:36,,,,,
2023-L2UF4Z,"ถนน,จราจร","กรุงเทพมหานคร, เขตบางซื่อ, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตบางซื่อ, กรุงเทพมหานคร",ซากรถกระบะ นิสสัน หมายเลขทะเบียน ณษ 1293 กรุงเทพมหานคร จอดขวางอยู่ใน ซอย วงศ์สว่าง 7 เป็นเวลานานมากกว่า 3 ปีแล้ว ต้องการให้ทางกรุงเทพมหานครย้ายรถออก และนำขายทอดตลาด และส่วนแบ่งค่าปรับตามที่ได้มีการประกาศไว้,100.51838,13.81989,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/30dece46adad14dde0a24942b550d4910d519b82.jpg,,12 ซอย มหาศาล แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,วงศ์สว่าง,บางซื่อ,กรุงเทพมหานคร,28/11/2023 20:35,start,,0,28/11/2023 20:35,,,,,
N9LVVA,"เสนอแนะ,ประชาสัมพันธ์","ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตบางบอน","เขตบางบอน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ปัญหา: 1.ประชาชนเสนอแนะให้มีการตรวจสอบสถานพยาบาล เขตบางบอน เนื่องจากอาคารมีการแตกร้าว โครงสร้างอาคารไม่ได้มาตราฐาน ทั้งที่ยังไม่ได้เปิดการใช้งานจุดรับบริการผู้ป่วยในและผู้ป่วยนอก จึงต้องการให้ซ่อมแซมให้ได้มาตราฐานตามกฎกระทรวงสาธารณะสุข
2.เสนอแนะให้ขยายพื้นที่จอดรถ สำหรับให้ญาติๆที่มาใช้บริการมีที่จอดรถเป็นเนื้อที่ 4 ไร่
ถนน: เอกชัย
จุดสังเกต: สำนักงานเขตบางบอน
เขต: บางบอน
#1555",100.36888,13.63396,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701178225626.jpeg,,1 ถ. เอกชัย บางบอนใต้ เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,บางบอนใต้,บางบอน,กรุงเทพมหานคร,28/11/2023 20:30,start,,0,28/11/2023 20:30,,,,,
2023-D7MP3V,อื่นๆ,"เพื่อนชัชชาติ, เขตลาดกระบัง, กรุงเทพมหานคร, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.)","เขตลาดกระบัง, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ป้ายรถเมล์ ไฟส่องสว่างไม่ติด,100.73619,13.72256,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/e249dedcd7ad6ea065ebfb29f85ff386aeebba24.jpg,,PPFP+3FW Lat Krabang Frontage Road แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,28/11/2023 20:30,forward,,0,28/11/2023 20:42,,,,,
